shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff8a860240,0x7fff8a871156
shared-library,"/usr/lib/system/libsystem_network.dylib",0x7fff866d5dc0,0x7fff866df4a1
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff8f3593f0,0x7fff8f361bd9
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff86afa7d4,0x7fff86afb62d
shared-library,"/usr/lib/system/libunc.dylib",0x7fff8be6d5f1,0x7fff8be6e950
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff87d54b84,0x7fff87d59606
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff85fce960,0x7fff85fe3d06
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff8bf8bc20,0x7fff8bfbe517
shared-library,"/usr/lib/libauto.dylib",0x7fff8f449350,0x7fff8f487750
shared-library,"/usr/lib/libc++abi.dylib",0x7fff8cb2126c,0x7fff8cb363e8
shared-library,"/usr/lib/libc++.1.dylib",0x7fff8948a5a0,0x7fff894cbfd0
shared-library,"/usr/lib/system/libkxld.dylib",0x7fff8dddc06c,0x7fff8dde5fc4
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff8c62cf6a,0x7fff8c62d802
shared-library,"/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork",0x7fff8b2eda90,0x7fff8b40974d
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/CarbonCore",0x7fff894fbdd0,0x7fff895dc751
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Metadata",0x7fff8924f6c0,0x7fff892ac0cb
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/OSServices.framework/Versions/A/OSServices",0x7fff8413f940,0x7fff841b3657
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/SearchKit.framework/Versions/A/SearchKit",0x7fff8562ead8,0x7fff85682dcc
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/AE.framework/Versions/A/AE",0x7fff8e736310,0x7fff8e77f1a1
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/LaunchServices.framework/Versions/A/LaunchServices",0x7fff8da51d08,0x7fff8dadbc2b
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/DictionaryServices",0x7fff86b768b8,0x7fff86b98bee
shared-library,"/System/Library/Frameworks/SystemConfiguration.framework/Versions/A/SystemConfiguration",0x7fff8b987b00,0x7fff8b9c4ef6
shared-library,"/usr/lib/libsqlite3.dylib",0x7fff83fce880,0x7fff840b84c0
shared-library,"/usr/lib/libxml2.2.dylib",0x7fff83ed0150,0x7fff83f9467f
shared-library,"/usr/lib/libxar.1.dylib",0x7fff8b615fb8,0x7fff8b621804
shared-library,"/usr/lib/libpam.2.dylib",0x7fff8cc10780,0x7fff8cc13548
shared-library,"/usr/lib/libOpenScriptingUtil.dylib",0x7fff86aeed6c,0x7fff86aeeece
shared-library,"/usr/lib/libbz2.1.0.dylib",0x7fff8cb7fbdc,0x7fff8cb8b86c
shared-library,"/System/Library/Frameworks/DiskArbitration.framework/Versions/A/DiskArbitration",0x7fff83dd848c,0x7fff83ddbe9e
shared-library,"/System/Library/Frameworks/NetFS.framework/Versions/A/NetFS",0x7fff85838ba0,0x7fff8583defe
shared-library,"/System/Library/PrivateFrameworks/NetAuth.framework/Versions/A/NetAuth",0x7fff8b58f030,0x7fff8b598821
shared-library,"/System/Library/PrivateFrameworks/DataDetectorsCore.framework/Versions/A/DataDetectorsCore",0x7fff8cb8df20,0x7fff8cbd6a51
shared-library,"/System/Library/PrivateFrameworks/TCC.framework/Versions/A/TCC",0x7fff854706b0,0x7fff85472c79
shared-library,"/usr/lib/liblangid.dylib",0x7fff8546e157,0x7fff8546ea32
shared-library,"/usr/lib/libCRFSuite.dylib",0x7fff8f427490,0x7fff8f43fa48
shared-library,"/System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/GenerationalStorage",0x7fff904192f0,0x7fff9042a32f
shared-library,"/System/Library/Frameworks/OpenDirectory.framework/Versions/A/Frameworks/CFOpenDirectory.framework/Versions/A/CFOpenDirectory",0x7fff89828180,0x7fff89835b8a
shared-library,"/usr/lib/libxslt.1.dylib",0x7fff8b954e64,0x7fff8b97498f
shared-library,"/System/Library/Frameworks/Accelerate.framework/Versions/A/Accelerate",0x7fff8b2ec000,0x7fff8b2ec000
shared-library,"/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Resources/libFontParser.dylib",0x7fff86124a84,0x7fff86185830
shared-library,"/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Resources/libFontRegistry.dylib",0x7fff8e051900,0x7fff8e0832f8
shared-library,"/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vImage.framework/Versions/A/vImage",0x7fff8f496650,0x7fff8f5a718f
shared-library,"/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/vecLib",0x7fff8ce6a000,0x7fff8ce6a000
shared-library,"/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libvDSP.dylib",0x7fff8fc2a660,0x7fff8fc88ddf
shared-library,"/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libvMisc.dylib",0x7fff90c2d880,0x7fff90ca3304
shared-library,"/System/Library/Frameworks/Accelerate.framework/Versions/A/Frameworks/vecLib.framework/Versions/A/libLAPACK.dylib",0x7fff8f8330c8,0x7fff8fc061bd
